72:72:0.0:b'password#STA:TxTest;TM:1556949025;DISK:7194608.43;PPT:59.6;SQ:16.NET:1#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557215410;DISK:7172796.43;PPT:59.1;SQ:16.;NET:21#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557215430;DISK:7172792.43;PPT:58.;SQ:15.;NET:31#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557215459;DISK:7172784.43;PPT:59.1;SQ:15.;NET:41#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557215480;DISK:7172776.43;PPT:59.1;SQ:16.;NET:12#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557215508;DISK:7172772.43;PPT:58.;SQ:15.;NET:22#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557215528;DISK:7172768.43;PPT:59.1;SQ:16.;NET:32#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557215556;DISK:7172760.43;PPT:58.5;SQ:16.;NET:42#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557215577;DISK:7172748.43;PPT:58.;SQ:16.;NET:13#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557215605;DISK:7172744.43;PPT:58.5;SQ:16.;NET:23#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557215625;DISK:7172728.43;PPT:58.;SQ:16.;NET:33#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557215654;DISK:7172724.43;PPT:58.;SQ:16.;NET:43#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557215675;DISK:7172720.43;PPT:56.9;SQ:16.;NET:14#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557215703;DISK:7172712.43;PPT:57.5;SQ:16.;NET:24#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557215723;DISK:7172704.43;PPT:58.;SQ:15.;NET:34#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557215752;DISK:7172700.43;PPT:58.5;SQ:16.;NET:44#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557215772;DISK:7172692.43;PPT:58.5;SQ:16.;NET:15#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557215799;DISK:7172688.43;PPT:58.;SQ:16.;NET:25#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557215819;DISK:7172684.43;PPT:58.;SQ:16.;NET:35#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557215848;DISK:7172676.43;PPT:58.5;SQ:16.;NET:45#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557215869;DISK:7172672.43;PPT:58.;SQ:16.;NET:16#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557215897;DISK:7172656.43;PPT:59.1;SQ:17.;NET:26#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557215917;DISK:7172652.43;PPT:58.5;SQ:16.;NET:36#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557215946;DISK:7172648.43;PPT:59.6;SQ:16.;NET:46#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557215966;DISK:7172640.43;PPT:58.;SQ:16.;NET:17#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557215994;DISK:7172636.43;PPT:58.;SQ:16.;NET:27#\n'
48:48:0.0:b'password#STA:TxTest;TM:1557216012;SQ:16.;NET:1#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557216042;DISK:7172616.43;PPT:59.1;SQ:16.;NET:37#\n'
42:42:0.0:b'password#STA:TxTest;TM:1557216071;NET:47#\n'
66:66:0.0:b'password#STA:TxTest;TM:1557216114;DISK:7172584.43;PPT:63.9;NET:7#\n'
67:67:0.0:b'password#STA:TxTest;TM:1557216157;DISK:7172536.43;PPT:68.8;NET:14#\n'
49:49:0.0:b'password#STA:TxTest;TM:1557216161;SQ:15.;NET:24#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557216205;DISK:7172516.43;PPT:60.1;SQ:16.;NET:2#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557216225;DISK:7172512.43;PPT:60.1;SQ:16.;NET:3#\n'
49:49:0.0:b'password#STA:TxTest;TM:1557216254;SQ:16.;NET:15#\n'
48:48:0.0:b'password#STA:TxTest;TM:1557216254;SQ:16.;NET:4#\n'
49:49:0.0:b'password#STA:TxTest;TM:1557216283;SQ:15.;NET:25#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557216322;DISK:7172484.43;PPT:60.1;SQ:15.;NET:10#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557216350;DISK:7172480.43;PPT:59.1;SQ:15.;NET:45#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557216371;DISK:7172472.43;PPT:60.1;SQ:15.;NET:16#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557216399;DISK:7172464.43;PPT:59.1;SQ:15.;NET:26#\n'
49:49:0.0:b'password#STA:TxTest;TM:1557216420;SQ:15.;NET:40#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557216443;DISK:7172452.43;PPT:58.;SQ:15.;NET:46#\n'
42:42:0.0:b'password#STA:TxTest;TM:1557216464;NET:17#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557216494;DISK:7172440.43;PPT:58.;SQ:15.;NET:31#\n'
42:42:0.0:b'password#STA:TxTest;TM:1557216523;NET:41#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557216545;DISK:7172428.43;PPT:59.1;SQ:15.;NET:12#\n'
66:66:0.0:b'password#STA:TxTest;TM:1557216596;DISK:7172396.43;PPT:64.5;NET:7#\n'
66:66:0.0:b'password#STA:TxTest;TM:1557216624;DISK:7172376.43;PPT:62.3;NET:7#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557216647;DISK:7172376.43;PPT:61.2;SQ:15.;NET:1#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557216673;DISK:7172364.43;PPT:60.1;SQ:15.;NET:2#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557216693;DISK:7172360.43;PPT:59.6;SQ:15.;NET:3#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557216721;DISK:7172348.43;PPT:60.1;SQ:15.;NET:4#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557216740;DISK:7172340.43;PPT:59.1;SQ:15.;NET:10#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557216768;DISK:7172332.43;PPT:60.1;SQ:15.;NET:20#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557216788;DISK:7172324.43;PPT:59.1;SQ:15.;NET:30#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557216816;DISK:7172316.43;PPT:60.1;SQ:15.;NET:40#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557216837;DISK:7172312.43;PPT:59.1;SQ:15.;NET:11#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557216865;DISK:7172304.43;PPT:59.1;SQ:15.;NET:21#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557216885;DISK:7172300.43;PPT:58.5;SQ:15.;NET:31#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557216914;DISK:7172288.43;PPT:58.5;SQ:15.;NET:41#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557216934;DISK:7172284.43;PPT:59.6;SQ:15.;NET:12#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557216962;DISK:7172280.43;PPT:59.1;SQ:15.;NET:22#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557216982;DISK:7172272.43;PPT:58.;SQ:15.;NET:32#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557217011;DISK:7172268.43;PPT:58.;SQ:15.;NET:42#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217032;DISK:7172264.43;PPT:58.5;SQ:15.;NET:13#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217060;DISK:7172252.43;PPT:59.6;SQ:15.;NET:23#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217080;DISK:7172248.43;PPT:59.1;SQ:15.;NET:33#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217109;DISK:7172244.43;PPT:58.5;SQ:16.;NET:43#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217129;DISK:7172236.43;PPT:58.5;SQ:15.;NET:14#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217157;DISK:7172228.43;PPT:58.5;SQ:16.;NET:24#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217177;DISK:7172224.43;PPT:59.1;SQ:15.;NET:34#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217206;DISK:7172212.43;PPT:59.1;SQ:15.;NET:44#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217226;DISK:7172208.43;PPT:59.1;SQ:14.;NET:15#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217254;DISK:7172200.43;PPT:59.1;SQ:16.;NET:25#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557217274;DISK:7172196.43;PPT:58.;SQ:15.;NET:35#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217303;DISK:7172188.43;PPT:58.5;SQ:16.;NET:45#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557217324;DISK:7172176.43;PPT:58.;SQ:15.;NET:16#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217352;DISK:7172172.43;PPT:59.1;SQ:16.;NET:26#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217371;DISK:7172160.43;PPT:58.5;SQ:15.;NET:36#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557217400;DISK:7172152.43;PPT:58.;SQ:16.;NET:46#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217421;DISK:7172148.43;PPT:58.5;SQ:15.;NET:17#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217449;DISK:7172144.43;PPT:59.1;SQ:15.;NET:27#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217468;DISK:7172136.43;PPT:59.1;SQ:15.;NET:37#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217497;DISK:7172132.43;PPT:59.1;SQ:15.;NET:47#\n'
66:66:0.0:b'password#STA:TxTest;TM:1557217537;DISK:7172116.43;PPT:60.7;NET:7#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557217560;DISK:7172116.43;PPT:60.7;SQ:15.;NET:1#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557217586;DISK:7172108.43;PPT:60.1;SQ:15.;NET:2#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557217605;DISK:7172104.43;PPT:57.5;SQ:15.;NET:3#\n'
72:72:0.0:b'password#STA:TxTest;TM:1557217634;DISK:7172100.43;PPT:58.;SQ:15.;NET:4#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217654;DISK:7172088.43;PPT:59.1;SQ:15.;NET:10#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217681;DISK:7172084.43;PPT:58.5;SQ:15.;NET:20#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217701;DISK:7172076.43;PPT:59.1;SQ:14.;NET:30#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217729;DISK:7172064.43;PPT:58.5;SQ:15.;NET:40#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557217750;DISK:7172060.43;PPT:58.;SQ:15.;NET:11#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217778;DISK:7172056.43;PPT:59.1;SQ:15.;NET:21#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217798;DISK:7172048.43;PPT:59.1;SQ:15.;NET:31#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217826;DISK:7172040.43;PPT:59.1;SQ:15.;NET:41#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217847;DISK:7172032.43;PPT:58.5;SQ:15.;NET:12#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217874;DISK:7172024.43;PPT:59.1;SQ:15.;NET:22#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217894;DISK:7172020.43;PPT:58.5;SQ:15.;NET:32#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557217923;DISK:7172012.43;PPT:59.1;SQ:15.;NET:42#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557217944;DISK:7172008.43;PPT:58.;SQ:15.;NET:13#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557217972;DISK:7172000.43;PPT:58.;SQ:16.;NET:23#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557217992;DISK:7171996.43;PPT:58.;SQ:15.;NET:33#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218021;DISK:7171984.43;PPT:58.5;SQ:16.;NET:43#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557218042;DISK:7171980.43;PPT:58.;SQ:15.;NET:14#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218070;DISK:7171972.43;PPT:58.5;SQ:15.;NET:24#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218090;DISK:7171968.43;PPT:57.5;SQ:15.;NET:34#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218119;DISK:7171964.43;PPT:58.5;SQ:15.;NET:44#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218139;DISK:7171952.43;PPT:58.5;SQ:15.;NET:15#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557218167;DISK:7171948.43;PPT:58.;SQ:15.;NET:25#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557218187;DISK:7171944.43;PPT:58.;SQ:15.;NET:35#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218216;DISK:7171936.43;PPT:59.1;SQ:15.;NET:45#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557218236;DISK:7171924.43;PPT:58.;SQ:14.;NET:16#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218264;DISK:7171916.43;PPT:59.1;SQ:15.;NET:26#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218284;DISK:7171908.43;PPT:59.1;SQ:15.;NET:36#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218312;DISK:7171904.43;PPT:58.5;SQ:15.;NET:46#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557218333;DISK:7171892.43;PPT:58.;SQ:15.;NET:17#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557218361;DISK:7171888.43;PPT:58.;SQ:14.;NET:27#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557218381;DISK:7171884.43;PPT:58.;SQ:14.;NET:37#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218410;DISK:7171876.43;PPT:58.5;SQ:14.;NET:47#\n'
66:66:0.0:b'password#STA:TxTest;TM:1557218449;DISK:7171860.43;PPT:60.1;NET:7#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557218472;DISK:7171864.43;PPT:60.7;SQ:15.;NET:1#\n'
72:72:0.0:b'password#STA:TxTest;TM:1557218499;DISK:7171856.43;PPT:58.;SQ:15.;NET:2#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557218518;DISK:7171852.43;PPT:59.1;SQ:14.;NET:3#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557218546;DISK:7171840.43;PPT:58.5;SQ:15.;NET:4#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218567;DISK:7171836.43;PPT:57.5;SQ:15.;NET:10#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218595;DISK:7171828.43;PPT:59.1;SQ:15.;NET:20#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218615;DISK:7171820.43;PPT:57.5;SQ:15.;NET:30#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557218644;DISK:7171816.43;PPT:58.;SQ:14.;NET:40#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218665;DISK:7171812.43;PPT:57.5;SQ:15.;NET:11#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557218693;DISK:7171800.43;PPT:58.;SQ:15.;NET:21#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218713;DISK:7171796.43;PPT:58.5;SQ:15.;NET:31#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557218741;DISK:7171784.43;PPT:58.;SQ:15.;NET:41#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218762;DISK:7171780.43;PPT:57.5;SQ:15.;NET:12#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218790;DISK:7171768.43;PPT:59.1;SQ:14.;NET:22#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218810;DISK:7171764.43;PPT:58.5;SQ:15.;NET:32#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557218839;DISK:7171756.43;PPT:58.;SQ:15.;NET:42#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557218859;DISK:7171752.43;PPT:58.;SQ:15.;NET:13#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218887;DISK:7171744.43;PPT:58.5;SQ:15.;NET:23#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557218907;DISK:7171736.43;PPT:58.;SQ:15.;NET:33#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218936;DISK:7171732.43;PPT:58.5;SQ:16.;NET:43#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218956;DISK:7171724.43;PPT:58.5;SQ:15.;NET:14#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557218985;DISK:7171720.43;PPT:58.5;SQ:15.;NET:24#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557219004;DISK:7171716.43;PPT:59.1;SQ:15.;NET:34#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557219033;DISK:7171708.43;PPT:58.5;SQ:15.;NET:44#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557219053;DISK:7171700.43;PPT:58.;SQ:15.;NET:15#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557219081;DISK:7171696.43;PPT:59.1;SQ:15.;NET:25#\n'
127:127:0.0:b'[18738.711032] Under-voltage detected! (0x00050005)\r\npassword#STA:TxTest;TM:1557219101;DISK:7171688.43;PPT:57.5;SQ:16.;NET:35#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557219130;DISK:7171680.43;PPT:57.5;SQ:16.;NET:45#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557219151;DISK:7171672.43;PPT:58.;SQ:16.;NET:16#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557219179;DISK:7171668.43;PPT:58.;SQ:15.;NET:26#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557219199;DISK:7171664.43;PPT:58.5;SQ:15.;NET:36#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557219227;DISK:7171652.43;PPT:59.1;SQ:15.;NET:46#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557219248;DISK:7171648.43;PPT:58.5;SQ:15.;NET:17#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557219276;DISK:7171644.43;PPT:57.5;SQ:15.;NET:27#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557219296;DISK:7171632.43;PPT:58.;SQ:15.;NET:37#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557219333;DISK:7171616.43;PPT:58.5;SQ:15.;NET:47#\n'
66:66:0.0:b'password#STA:TxTest;TM:1557219373;DISK:7171608.43;PPT:59.1;NET:7#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557219397;DISK:7171604.43;PPT:59.1;SQ:16.;NET:1#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557219424;DISK:7171592.43;PPT:59.1;SQ:15.;NET:2#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557219443;DISK:7171588.43;PPT:58.5;SQ:15.;NET:3#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557219471;DISK:7171584.43;PPT:59.1;SQ:15.;NET:4#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557219491;DISK:7171576.43;PPT:58.;SQ:15.;NET:10#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557219519;DISK:7171568.43;PPT:59.1;SQ:15.;NET:20#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557219539;DISK:7171564.43;PPT:58.;SQ:15.;NET:30#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557219568;DISK:7171556.43;PPT:59.1;SQ:16.;NET:40#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557219588;DISK:7171552.43;PPT:58.;SQ:15.;NET:11#\n'
49:49:0.0:b'password#STA:TxTest;TM:1557219612;SQ:15.;NET:21#\n'
72:72:0.0:b'password#STA:TxTest;TM:1557219638;DISK:7171536.43;PPT:58.;SQ:15.;NET:2#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557219660;DISK:7171532.43;PPT:59.1;SQ:15.;NET:4#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557219681;DISK:7171528.43;PPT:58.;SQ:16.;NET:10#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557219710;DISK:7171516.43;PPT:58.;SQ:16.;NET:22#\n'
49:49:0.0:b'password#STA:TxTest;TM:1557219731;SQ:16.;NET:32#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557219761;DISK:7171504.43;PPT:59.1;SQ:15.;NET:42#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557219782;DISK:7171500.43;PPT:57.5;SQ:15.;NET:40#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557219804;DISK:7171492.43;PPT:59.1;SQ:15.;NET:13#\n'
42:42:0.0:b'password#STA:TxTest;TM:1557219831;NET:23#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557219852;DISK:7171480.43;PPT:58.;SQ:15.;NET:21#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557219872;DISK:7171476.43;PPT:58.5;SQ:15.;NET:31#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557219902;DISK:7171456.43;PPT:57.5;SQ:16.;NET:43#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557219922;DISK:7171452.43;PPT:58.;SQ:15.;NET:14#\n'
42:42:0.0:b'password#STA:TxTest;TM:1557219951;NET:24#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557219972;DISK:7171436.43;PPT:58.5;SQ:15.;NET:34#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220002;DISK:7171424.43;PPT:57.5;SQ:15.;NET:32#\n'
42:42:0.0:b'password#STA:TxTest;TM:1557220031;NET:42#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557220055;DISK:7171408.43;PPT:58.;SQ:15.;NET:23#\n'
49:49:0.0:b'password#STA:TxTest;TM:1557220055;SQ:15.;NET:33#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220104;DISK:7171392.43;PPT:58.5;SQ:16.;NET:43#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220126;DISK:7171388.43;PPT:56.9;SQ:16.;NET:35#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220155;DISK:7171380.43;PPT:58.5;SQ:16.;NET:14#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220182;DISK:7171376.43;PPT:57.5;SQ:16.;NET:16#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220211;DISK:7171364.43;PPT:59.1;SQ:16.;NET:26#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557220232;DISK:7171360.43;PPT:58.;SQ:16.;NET:44#\n'
49:49:0.0:b'password#STA:TxTest;TM:1557220254;SQ:15.;NET:46#\n'
42:42:0.0:b'password#STA:TxTest;TM:1557220277;NET:17#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220306;DISK:7171336.43;PPT:58.5;SQ:14.;NET:27#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220328;DISK:7171328.43;PPT:59.1;SQ:14.;NET:45#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220350;DISK:7171320.43;PPT:59.1;SQ:14.;NET:47#\n'
66:66:0.0:b'password#STA:TxTest;TM:1557220391;DISK:7171008.43;PPT:62.3;NET:7#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557220421;DISK:7171304.43;PPT:61.2;SQ:15.;NET:1#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557220448;DISK:7171288.43;PPT:60.1;SQ:15.;NET:2#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557220466;DISK:7171280.43;PPT:60.1;SQ:15.;NET:3#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557220494;DISK:7171276.43;PPT:59.1;SQ:15.;NET:4#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220514;DISK:7171268.43;PPT:59.1;SQ:15.;NET:10#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557220542;DISK:7171264.43;PPT:58.;SQ:15.;NET:20#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220562;DISK:7171256.43;PPT:59.1;SQ:15.;NET:30#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557220590;DISK:7171248.43;PPT:58.;SQ:15.;NET:40#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220611;DISK:7171244.43;PPT:58.5;SQ:15.;NET:11#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220638;DISK:7171240.43;PPT:59.1;SQ:15.;NET:21#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220659;DISK:7171232.43;PPT:59.1;SQ:15.;NET:31#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220687;DISK:7171224.43;PPT:57.5;SQ:15.;NET:41#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557220708;DISK:7171216.43;PPT:58.;SQ:15.;NET:12#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557220736;DISK:7171204.43;PPT:58.;SQ:15.;NET:22#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220757;DISK:7171200.43;PPT:56.9;SQ:15.;NET:32#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220786;DISK:7171192.43;PPT:59.1;SQ:15.;NET:42#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557220806;DISK:7171184.43;PPT:58.;SQ:15.;NET:13#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220834;DISK:7171180.43;PPT:57.5;SQ:15.;NET:23#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220854;DISK:7171172.43;PPT:58.5;SQ:15.;NET:33#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220883;DISK:7171164.43;PPT:56.9;SQ:15.;NET:43#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220903;DISK:7171160.43;PPT:58.5;SQ:15.;NET:14#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220931;DISK:7171152.43;PPT:56.9;SQ:15.;NET:24#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557220951;DISK:7171148.43;PPT:58.;SQ:15.;NET:34#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557220980;DISK:7171144.43;PPT:59.1;SQ:15.;NET:44#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557221001;DISK:7171128.43;PPT:57.5;SQ:15.;NET:15#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557221029;DISK:7171120.43;PPT:58.;SQ:15.;NET:25#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557221049;DISK:7171116.43;PPT:56.9;SQ:15.;NET:35#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557221078;DISK:7171108.43;PPT:57.5;SQ:15.;NET:45#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557221099;DISK:7171104.43;PPT:58.5;SQ:15.;NET:16#\n'
74:74:0.0:b'password#STA:TxTest;TM:1557221127;DISK:7171100.43;PPT:56.9;SQ:15.;NET:26#\n'
73:73:0.0:b'password#STA:TxTest;TM:1557221147;DISK:7171092.43;PPT:58.;SQ:15.;NET:36#\n'
